iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(27, 1)",None,Start,"[((27, 2), 'North', 1, 27, 28), ((26, 1), 'West', 1, 25, 26)]",[],"['(26, 1)', '(27, 2)']","[(27, 1)]",0,26,26
2,"(26, 1)","(27, 1)",West,"[((25, 1), 'West', 2, 24, 26)]","['(27, 2)']","['(25, 1)', '(27, 2)']","[(26, 1), (27, 1)]",1,25,26
3,"(25, 1)","(26, 1)",West,"[((24, 1), 'West', 3, 23, 26)]","['(27, 2)']","['(24, 1)', '(27, 2)']","[(25, 1), (26, 1), (27, 1)]",2,24,26
4,"(24, 1)","(25, 1)",West,"[((23, 1), 'West', 4, 22, 26)]","['(27, 2)']","['(23, 1)', '(27, 2)']","[(25, 1), (26, 1), (24, 1), (27, 1)]",3,23,26
5,"(23, 1)","(24, 1)",West,"[((22, 1), 'West', 5, 21, 26)]","['(27, 2)']","['(22, 1)', '(27, 2)']","[(23, 1), (26, 1), (24, 1), (27, 1), (25, 1)]",4,22,26
6,"(22, 1)","(23, 1)",West,"[((21, 1), 'West', 6, 20, 26)]","['(27, 2)']","['(21, 1)', '(27, 2)']","[(23, 1), (26, 1), (24, 1), (27, 1), (22, 1), (25, 1)]",5,21,26
7,"(21, 1)","(22, 1)",West,"[((20, 1), 'West', 7, 19, 26)]","['(27, 2)']","['(20, 1)', '(27, 2)']","[(23, 1), (26, 1), (24, 1), (27, 1), (22, 1), (25, 1), (21, 1)]",6,20,26
8,"(20, 1)","(21, 1)",West,"[((19, 1), 'West', 8, 18, 26)]","['(27, 2)']","['(19, 1)', '(27, 2)']","[(23, 1), (26, 1), (24, 1), (27, 1), (22, 1), (20, 1), (25, 1), (21, 1)]",7,19,26
9,"(19, 1)","(20, 1)",West,"[((18, 1), 'West', 9, 17, 26)]","['(27, 2)']","['(18, 1)', '(27, 2)']","[(23, 1), (26, 1), (24, 1), (27, 1), (22, 1), (19, 1), (20, 1), (25, 1), (21, 1)]",8,18,26
10,"(18, 1)","(19, 1)",West,"[((17, 1), 'West', 10, 16, 26)]","['(27, 2)']","['(17, 1)', '(27, 2)']","[(23, 1), (26, 1), (18, 1), (24, 1), (27, 1), (22, 1), (19, 1), (20, 1), (25, 1), (21, 1)]",9,17,26
11,"(17, 1)","(18, 1)",West,"[((16, 1), 'West', 11, 15, 26)]","['(27, 2)']","['(16, 1)', '(27, 2)']","[(17, 1), (23, 1), (26, 1), (18, 1), (24, 1), (27, 1), (22, 1), (19, 1), (20, 1), (25, 1), (21, 1)]",10,16,26
12,"(16, 1)","(17, 1)",West,"[((15, 1), 'West', 12, 14, 26)]","['(27, 2)']","['(15, 1)', '(27, 2)']","[(17, 1), (23, 1), (26, 1), (18, 1), (24, 1), (27, 1), (22, 1), (19, 1), (20, 1), (25, 1), (21, 1), (16, 1)]",11,15,26
13,"(15, 1)","(16, 1)",West,"[((14, 1), 'West', 13, 13, 26)]","['(27, 2)']","['(14, 1)', '(27, 2)']","[(17, 1), (23, 1), (26, 1), (18, 1), (24, 1), (27, 1), (22, 1), (19, 1), (20, 1), (15, 1), (25, 1), (21, 1), (16, 1)]",12,14,26
14,"(14, 1)","(15, 1)",West,"[((13, 1), 'West', 14, 12, 26)]","['(27, 2)']","['(13, 1)', '(27, 2)']","[(17, 1), (23, 1), (26, 1), (18, 1), (24, 1), (27, 1), (22, 1), (19, 1), (20, 1), (15, 1), (14, 1), (25, 1), (21, 1), (16, 1)]",13,13,26
15,"(13, 1)","(14, 1)",West,"[((12, 1), 'West', 15, 11, 26)]","['(27, 2)']","['(12, 1)', '(27, 2)']","[(17, 1), (23, 1), (26, 1), (18, 1), (24, 1), (27, 1), (22, 1), (19, 1), (20, 1), (15, 1), (14, 1), (13, 1), (25, 1), (21, 1), (16, 1)]",14,12,26
