iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(25, 13)",None,Start,"[((25, 12), 'South'), ((26, 13), 'East')]",[],"['(26, 13)', '(25, 12)']","[(25, 13)]",0,0,0
2,"(25, 12)","(25, 13)",South,"[((25, 11), 'South'), ((26, 12), 'East')]","['(26, 13)']","['(26, 12)', '(25, 11)', '(26, 13)']","[(25, 12), (25, 13)]",1,0,1
3,"(26, 13)","(25, 13)",East,"[((27, 13), 'East')]","['(26, 12)', '(25, 11)']","['(27, 13)', '(26, 12)', '(25, 11)']","[(25, 12), (25, 13), (26, 13)]",1,0,1
4,"(25, 11)","(25, 12)",South,"[((26, 11), 'East')]","['(27, 13)', '(26, 12)']","['(26, 11)', '(27, 13)', '(26, 12)']","[(25, 11), (25, 12), (25, 13), (26, 13)]",2,0,2
5,"(26, 12)","(25, 12)",East,"[((27, 12), 'East')]","['(26, 11)', '(27, 13)']","['(27, 12)', '(26, 11)', '(27, 13)']","[(25, 13), (25, 12), (26, 13), (25, 11), (26, 12)]",2,0,2
6,"(27, 13)","(26, 13)",East,"[((28, 13), 'East')]","['(27, 12)', '(26, 11)']","['(28, 13)', '(27, 12)', '(26, 11)']","[(25, 13), (25, 12), (26, 13), (27, 13), (25, 11), (26, 12)]",2,0,2
7,"(26, 11)","(25, 11)",East,"[((27, 11), 'East')]","['(28, 13)', '(27, 12)']","['(27, 11)', '(28, 13)', '(27, 12)']","[(26, 11), (25, 13), (25, 12), (26, 13), (27, 13), (25, 11), (26, 12)]",3,0,3
8,"(27, 12)","(26, 12)",East,"[((28, 12), 'East')]","['(27, 11)', '(28, 13)']","['(28, 12)', '(27, 11)', '(28, 13)']","[(26, 11), (25, 13), (25, 12), (26, 13), (27, 13), (25, 11), (26, 12), (27, 12)]",3,0,3
9,"(28, 13)","(27, 13)",East,"[((29, 13), 'East')]","['(28, 12)', '(27, 11)']","['(29, 13)', '(28, 12)', '(27, 11)']","[(26, 11), (25, 13), (25, 12), (28, 13), (26, 13), (27, 13), (25, 11), (26, 12), (27, 12)]",3,0,3
10,"(27, 11)","(26, 11)",East,"[((27, 10), 'South'), ((28, 11), 'East')]","['(29, 13)', '(28, 12)']","['(28, 11)', '(27, 10)', '(29, 13)', '(28, 12)']","[(26, 11), (25, 13), (27, 11), (25, 12), (28, 13), (26, 13), (27, 13), (25, 11), (26, 12), (27, 12)]",4,0,4
11,"(28, 12)","(27, 12)",East,"[((29, 12), 'East')]","['(28, 11)', '(27, 10)', '(29, 13)']","['(29, 12)', '(28, 11)', '(27, 10)', '(29, 13)']","[(26, 11), (25, 13), (27, 11), (25, 12), (28, 13), (26, 13), (27, 13), (28, 12), (25, 11), (26, 12), (27, 12)]",4,0,4
12,"(29, 13)","(28, 13)",East,[],"['(29, 12)', '(28, 11)', '(27, 10)']","['(29, 12)', '(28, 11)', '(27, 10)']","[(26, 11), (25, 13), (27, 11), (25, 12), (28, 13), (26, 13), (29, 13), (27, 13), (28, 12), (25, 11), (26, 12), (27, 12)]",4,0,4
13,"(27, 10)","(27, 11)",South,"[((27, 9), 'South'), ((28, 10), 'East')]","['(29, 12)', '(28, 11)']","['(28, 10)', '(27, 9)', '(29, 12)', '(28, 11)']","[(26, 11), (25, 13), (27, 11), (25, 12), (28, 13), (26, 13), (29, 13), (27, 13), (28, 12), (27, 10), (25, 11), (26, 12), (27, 12)]",5,0,5
14,"(28, 11)","(27, 11)",East,"[((29, 11), 'East')]","['(28, 10)', '(27, 9)', '(29, 12)']","['(29, 11)', '(28, 10)', '(27, 9)', '(29, 12)']","[(26, 11), (25, 13), (27, 11), (25, 12), (28, 13), (26, 13), (29, 13), (27, 13), (28, 12), (27, 10), (25, 11), (28, 11), (26, 12), (27, 12)]",5,0,5
15,"(29, 12)","(28, 12)",East,[],"['(29, 11)', '(28, 10)', '(27, 9)']","['(29, 11)', '(28, 10)', '(27, 9)']","[(26, 11), (25, 13), (27, 11), (25, 12), (28, 13), (26, 13), (29, 13), (27, 13), (28, 12), (27, 10), (29, 12), (25, 11), (28, 11), (26, 12), (27, 12)]",5,0,5
16,"(27, 9)","(27, 10)",South,"[((27, 8), 'South')]","['(29, 11)', '(28, 10)']","['(27, 8)', '(29, 11)', '(28, 10)']","[(26, 11), (25, 13), (27, 11), (25, 12), (28, 13), (26, 13), (29, 13), (27, 13), (28, 12), (27, 10), (29, 12), (25, 11), (28, 11), (27, 9), (26, 12), (27, 12)]",6,0,6
17,"(28, 10)","(27, 10)",East,"[((29, 10), 'East')]","['(27, 8)', '(29, 11)']","['(29, 10)', '(27, 8)', '(29, 11)']","[(26, 11), (25, 13), (27, 11), (28, 10), (25, 12), (28, 13), (26, 13), (29, 13), (27, 13), (28, 12), (27, 10), (29, 12), (25, 11), (28, 11), (27, 9), (26, 12), (27, 12)]",6,0,6
18,"(29, 11)","(28, 11)",East,[],"['(29, 10)', '(27, 8)']","['(29, 10)', '(27, 8)']","[(26, 11), (25, 13), (27, 11), (28, 10), (25, 12), (28, 13), (26, 13), (29, 13), (27, 13), (28, 12), (27, 10), (29, 12), (25, 11), (28, 11), (27, 9), (26, 12), (29, 11), (27, 12)]",6,0,6
19,"(27, 8)","(27, 9)",South,"[((28, 8), 'East')]","['(29, 10)']","['(28, 8)', '(29, 10)']","[(27, 13), (28, 12), (27, 10), (26, 11), (25, 13), (29, 13), (28, 11), (27, 9), (27, 12), (25, 12), (26, 13), (29, 12), (27, 8), (27, 11), (28, 10), (28, 13), (25, 11), (26, 12), (29, 11)]",7,0,7
20,"(29, 10)","(28, 10)",East,[],"['(28, 8)']","['(28, 8)']","[(27, 13), (28, 12), (27, 10), (26, 11), (25, 13), (29, 10), (29, 13), (28, 11), (27, 9), (27, 12), (25, 12), (26, 13), (29, 12), (27, 8), (27, 11), (28, 10), (28, 13), (25, 11), (26, 12), (29, 11)]",7,0,7
21,"(28, 8)","(27, 8)",East,"[((29, 8), 'East')]",[],"['(29, 8)']","[(27, 13), (28, 12), (27, 10), (26, 11), (25, 13), (29, 10), (29, 13), (28, 11), (27, 9), (28, 8), (27, 12), (25, 12), (26, 13), (29, 12), (27, 8), (27, 11), (28, 10), (28, 13), (25, 11), (26, 12), (29, 11)]",8,0,8
22,"(29, 8)","(28, 8)",East,"[((29, 7), 'South')]",[],"['(29, 7)']","[(27, 13), (28, 12), (27, 10), (26, 11), (25, 13), (29, 10), (29, 13), (28, 11), (27, 9), (28, 8), (27, 12), (25, 12), (26, 13), (29, 12), (27, 8), (27, 11), (28, 10), (28, 13), (25, 11), (26, 12), (29, 11), (29, 8)]",9,0,9
23,"(29, 7)","(29, 8)",South,"[((29, 6), 'South')]",[],"['(29, 6)']","[(27, 13), (28, 12), (27, 10), (26, 11), (25, 13), (29, 7), (29, 10), (29, 13), (28, 11), (27, 9), (28, 8), (27, 12), (25, 12), (26, 13), (29, 12), (27, 8), (27, 11), (28, 10), (28, 13), (25, 11), (26, 12), (29, 11), (29, 8)]",10,0,10
24,"(29, 6)","(29, 7)",South,"[((28, 6), 'West')]",[],"['(28, 6)']","[(27, 13), (28, 12), (27, 10), (26, 11), (25, 13), (29, 7), (29, 10), (29, 13), (28, 11), (27, 9), (28, 8), (27, 12), (25, 12), (26, 13), (29, 6), (29, 12), (27, 8), (27, 11), (28, 10), (28, 13), (25, 11), (26, 12), (29, 11), (29, 8)]",11,0,11
25,"(28, 6)","(29, 6)",West,"[((27, 6), 'West')]",[],"['(27, 6)']","[(27, 13), (28, 6), (28, 12), (27, 10), (26, 11), (25, 13), (29, 7), (29, 10), (29, 13), (28, 11), (27, 9), (28, 8), (27, 12), (25, 12), (26, 13), (29, 6), (29, 12), (27, 8), (27, 11), (28, 10), (28, 13), (25, 11), (26, 12), (29, 11), (29, 8)]",12,0,12
26,"(27, 6)","(28, 6)",West,"[((27, 5), 'South')]",[],"['(27, 5)']","[(27, 13), (28, 6), (28, 12), (27, 10), (26, 11), (25, 13), (29, 7), (29, 10), (29, 13), (27, 6), (28, 11), (27, 9), (28, 8), (27, 12), (25, 12), (26, 13), (29, 6), (29, 12), (27, 8), (27, 11), (28, 10), (28, 13), (25, 11), (26, 12), (29, 11), (29, 8)]",13,0,13
27,"(27, 5)","(27, 6)",South,"[((27, 4), 'South')]",[],"['(27, 4)']","[(27, 13), (28, 6), (28, 12), (27, 10), (26, 11), (25, 13), (29, 7), (29, 10), (29, 13), (27, 6), (28, 11), (27, 9), (28, 8), (27, 12), (25, 12), (26, 13), (29, 6), (29, 12), (27, 8), (27, 5), (27, 11), (28, 10), (28, 13), (25, 11), (26, 12), (29, 11), (29, 8)]",14,0,14
28,"(27, 4)","(27, 5)",South,"[((27, 3), 'South'), ((28, 4), 'East')]",[],"['(28, 4)', '(27, 3)']","[(27, 4), (27, 13), (28, 6), (28, 12), (27, 10), (26, 11), (25, 13), (29, 7), (29, 10), (29, 13), (27, 6), (28, 11), (27, 9), (28, 8), (27, 12), (25, 12), (26, 13), (29, 6), (29, 12), (27, 8), (27, 5), (27, 11), (28, 10), (28, 13), (25, 11), (26, 12), (29, 11), (29, 8)]",15,0,15
29,"(27, 3)","(27, 4)",South,[],"['(28, 4)']","['(28, 4)']","[(27, 4), (27, 13), (28, 6), (28, 12), (27, 10), (26, 11), (25, 13), (29, 7), (29, 10), (29, 13), (27, 6), (28, 11), (27, 9), (27, 3), (28, 8), (27, 12), (25, 12), (26, 13), (29, 6), (29, 12), (27, 8), (27, 5), (27, 11), (28, 10), (28, 13), (25, 11), (26, 12), (29, 11), (29, 8)]",16,0,16
