iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"((4, 5), ())",None,Start,"[(((4, 6), ()), 'North'), (((5, 5), ()), 'East'), (((3, 5), ()), 'West')]",[],"['((3, 5), ())', '((5, 5), ())', '((4, 6), ())']","[((4, 5), ())]",0,0,0
2,"((4, 6), ())","((4, 5), ())",North,"[(((5, 6), ()), 'East'), (((3, 6), ()), 'West')]","['((3, 5), ())', '((5, 5), ())']","['((3, 6), ())', '((5, 6), ())', '((3, 5), ())', '((5, 5), ())']","[((4, 5), ()), ((4, 6), ())]",1,0,1
3,"((5, 5), ())","((4, 5), ())",East,"[(((6, 5), ()), 'East')]","['((3, 6), ())', '((5, 6), ())', '((3, 5), ())']","['((6, 5), ())', '((3, 6), ())', '((5, 6), ())', '((3, 5), ())']","[((4, 5), ()), ((4, 6), ()), ((5, 5), ())]",1,0,1
4,"((3, 5), ())","((4, 5), ())",West,"[(((2, 5), ()), 'West')]","['((6, 5), ())', '((3, 6), ())', '((5, 6), ())']","['((2, 5), ())', '((6, 5), ())', '((3, 6), ())', '((5, 6), ())']","[((4, 5), ()), ((4, 6), ()), ((3, 5), ()), ((5, 5), ())]",1,0,1
5,"((5, 6), ())","((4, 6), ())",East,"[(((6, 6), ((6, 6),)), 'East')]","['((2, 5), ())', '((6, 5), ())', '((3, 6), ())']","['((6, 6), ((6, 6),))', '((2, 5), ())', '((6, 5), ())', '((3, 6), ())']","[((5, 6), ()), ((4, 5), ()), ((3, 5), ()), ((4, 6), ()), ((5, 5), ())]",2,0,2
6,"((3, 6), ())","((4, 6), ())",West,"[(((2, 6), ()), 'West')]","['((6, 6), ((6, 6),))', '((2, 5), ())', '((6, 5), ())']","['((2, 6), ())', '((6, 6), ((6, 6),))', '((2, 5), ())', '((6, 5), ())']","[((5, 6), ()), ((4, 5), ()), ((3, 6), ()), ((3, 5), ()), ((4, 6), ()), ((5, 5), ())]",2,0,2
7,"((6, 5), ())","((5, 5), ())",East,"[(((6, 4), ()), 'South')]","['((2, 6), ())', '((6, 6), ((6, 6),))', '((2, 5), ())']","['((6, 4), ())', '((2, 6), ())', '((6, 6), ((6, 6),))', '((2, 5), ())']","[((5, 6), ()), ((4, 5), ()), ((3, 6), ()), ((3, 5), ()), ((6, 5), ()), ((4, 6), ()), ((5, 5), ())]",2,0,2
8,"((2, 5), ())","((3, 5), ())",West,"[(((1, 5), ()), 'West')]","['((6, 4), ())', '((2, 6), ())', '((6, 6), ((6, 6),))']","['((1, 5), ())', '((6, 4), ())', '((2, 6), ())', '((6, 6), ((6, 6),))']","[((5, 6), ()), ((4, 5), ()), ((3, 6), ()), ((2, 5), ()), ((3, 5), ()), ((6, 5), ()), ((4, 6), ()), ((5, 5), ())]",2,0,2
9,"((6, 6), ((6, 6),))","((5, 6), ())",East,"[(((6, 5), ((6, 6),)), 'South'), (((5, 6), ((6, 6),)), 'West')]","['((1, 5), ())', '((6, 4), ())', '((2, 6), ())']","['((5, 6), ((6, 6),))', '((6, 5), ((6, 6),))', '((1, 5), ())', '((6, 4), ())', '((2, 6), ())']","[((5, 6), ()), ((6, 6), ((6, 6),)), ((4, 5), ()), ((3, 6), ()), ((2, 5), ()), ((3, 5), ()), ((6, 5), ()), ((4, 6), ()), ((5, 5), ())]",3,0,3
10,"((2, 6), ())","((3, 6), ())",West,"[(((1, 6), ((1, 6),)), 'West')]","['((5, 6), ((6, 6),))', '((6, 5), ((6, 6),))', '((1, 5), ())', '((6, 4), ())']","['((1, 6), ((1, 6),))', '((5, 6), ((6, 6),))', '((6, 5), ((6, 6),))', '((1, 5), ())', '((6, 4), ())']","[((5, 6), ()), ((6, 6), ((6, 6),)), ((2, 6), ()), ((4, 5), ()), ((3, 6), ()), ((2, 5), ()), ((3, 5), ()), ((6, 5), ()), ((4, 6), ()), ((5, 5), ())]",3,0,3
11,"((6, 4), ())","((6, 5), ())",South,"[(((6, 3), ()), 'South')]","['((1, 6), ((1, 6),))', '((5, 6), ((6, 6),))', '((6, 5), ((6, 6),))', '((1, 5), ())']","['((6, 3), ())', '((1, 6), ((1, 6),))', '((5, 6), ((6, 6),))', '((6, 5), ((6, 6),))', '((1, 5), ())']","[((5, 6), ()), ((6, 6), ((6, 6),)), ((2, 6), ()), ((4, 5), ()), ((3, 6), ()), ((2, 5), ()), ((3, 5), ()), ((6, 5), ()), ((6, 4), ()), ((4, 6), ()), ((5, 5), ())]",3,0,3
