iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(1, 19)",None,Start,"[((1, 18), 'South'), ((2, 19), 'East')]",[],"['(1, 18)', '(2, 19)']","[(1, 19)]",0,0,0
2,"(2, 19)","(1, 19)",East,"[((3, 19), 'East')]","['(1, 18)']","['(1, 18)', '(3, 19)']","[(1, 19), (2, 19)]",1,0,1
3,"(3, 19)","(2, 19)",East,"[((4, 19), 'East')]","['(1, 18)']","['(1, 18)', '(4, 19)']","[(3, 19), (1, 19), (2, 19)]",2,0,2
4,"(4, 19)","(3, 19)",East,"[((5, 19), 'East')]","['(1, 18)']","['(1, 18)', '(5, 19)']","[(3, 19), (1, 19), (4, 19), (2, 19)]",3,0,3
5,"(5, 19)","(4, 19)",East,"[((5, 18), 'South')]","['(1, 18)']","['(1, 18)', '(5, 18)']","[(4, 19), (2, 19), (3, 19), (5, 19), (1, 19)]",4,0,4
6,"(5, 18)","(5, 19)",South,"[((5, 17), 'South')]","['(1, 18)']","['(1, 18)', '(5, 17)']","[(4, 19), (2, 19), (3, 19), (5, 19), (1, 19), (5, 18)]",5,0,5
7,"(5, 17)","(5, 18)",South,"[((4, 17), 'West')]","['(1, 18)']","['(1, 18)', '(4, 17)']","[(4, 19), (5, 17), (2, 19), (3, 19), (5, 19), (1, 19), (5, 18)]",6,0,6
8,"(4, 17)","(5, 17)",West,"[((3, 17), 'West')]","['(1, 18)']","['(1, 18)', '(3, 17)']","[(4, 17), (4, 19), (5, 17), (2, 19), (3, 19), (5, 19), (1, 19), (5, 18)]",7,0,7
9,"(3, 17)","(4, 17)",West,"[((3, 16), 'South')]","['(1, 18)']","['(1, 18)', '(3, 16)']","[(4, 17), (4, 19), (3, 17), (5, 17), (2, 19), (3, 19), (5, 19), (1, 19), (5, 18)]",8,0,8
10,"(3, 16)","(3, 17)",South,"[((3, 15), 'South')]","['(1, 18)']","['(1, 18)', '(3, 15)']","[(4, 17), (4, 19), (3, 17), (5, 17), (3, 16), (2, 19), (3, 19), (5, 19), (1, 19), (5, 18)]",9,0,9
11,"(3, 15)","(3, 16)",South,"[((4, 15), 'East')]","['(1, 18)']","['(1, 18)', '(4, 15)']","[(4, 17), (4, 19), (3, 17), (5, 17), (3, 16), (2, 19), (3, 19), (5, 19), (1, 19), (3, 15), (5, 18)]",10,0,10
12,"(4, 15)","(3, 15)",East,"[((5, 15), 'East')]","['(1, 18)']","['(1, 18)', '(5, 15)']","[(4, 17), (4, 19), (3, 17), (5, 17), (3, 16), (2, 19), (4, 15), (3, 19), (5, 19), (1, 19), (3, 15), (5, 18)]",11,0,11
