iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"((2, 3), <game.Grid object at 0x000001E20DDE69C0>)",None,Start,"[(((3, 3), <game.Grid object at 0x000001E20DDE6CC0>), 'East', 1), (((1, 3), <game.Grid object at 0x000001E20DDE6C30>), 'West', 1)]",[],"['((3, 3), <game.Grid object at 0x000001E20DDE6CC0>)', '((1, 3), <game.Grid object at 0x000001E20DDE6C30>)']","[((2, 3), <game.Grid object at 0x000001E20DDE69C0>)]",0,0,0
2,"((3, 3), <game.Grid object at 0x000001E20DDE6CC0>)","((2, 3), <game.Grid object at 0x000001E20DDE69C0>)",East,"[(((3, 2), <game.Grid object at 0x000001E20DDE6FC0>), 'South', 2)]","['((1, 3), <game.Grid object at 0x000001E20DDE6C30>)']","['((1, 3), <game.Grid object at 0x000001E20DDE6C30>)', '((3, 2), <game.Grid object at 0x000001E20DDE6FC0>)']","[((3, 3), <game.Grid object at 0x000001E20DDE6CC0>), ((2, 3), <game.Grid object at 0x000001E20DDE69C0>)]",1,0,1
3,"((1, 3), <game.Grid object at 0x000001E20DDE6C30>)","((2, 3), <game.Grid object at 0x000001E20DDE69C0>)",West,"[(((2, 3), <game.Grid object at 0x000001E20DDE6EA0>), 'East', 2)]","['((3, 2), <game.Grid object at 0x000001E20DDE6FC0>)']","['((3, 2), <game.Grid object at 0x000001E20DDE6FC0>)', '((2, 3), <game.Grid object at 0x000001E20DDE6EA0>)']","[((3, 3), <game.Grid object at 0x000001E20DDE6CC0>), ((1, 3), <game.Grid object at 0x000001E20DDE6C30>), ((2, 3), <game.Grid object at 0x000001E20DDE69C0>)]",1,0,1
4,"((3, 2), <game.Grid object at 0x000001E20DDE6FC0>)","((3, 3), <game.Grid object at 0x000001E20DDE6CC0>)",South,"[(((3, 1), <game.Grid object at 0x000001E20DDE7080>), 'South', 3)]","['((2, 3), <game.Grid object at 0x000001E20DDE6EA0>)']","['((2, 3), <game.Grid object at 0x000001E20DDE6EA0>)', '((3, 1), <game.Grid object at 0x000001E20DDE7080>)']","[((3, 3), <game.Grid object at 0x000001E20DDE6CC0>), ((3, 2), <game.Grid object at 0x000001E20DDE6FC0>), ((1, 3), <game.Grid object at 0x000001E20DDE6C30>), ((2, 3), <game.Grid object at 0x000001E20DDE69C0>)]",2,0,2
5,"((2, 3), <game.Grid object at 0x000001E20DDE6EA0>)","((1, 3), <game.Grid object at 0x000001E20DDE6C30>)",East,"[(((3, 3), <game.Grid object at 0x000001E20DDE72F0>), 'East', 3)]","['((3, 1), <game.Grid object at 0x000001E20DDE7080>)']","['((3, 1), <game.Grid object at 0x000001E20DDE7080>)', '((3, 3), <game.Grid object at 0x000001E20DDE72F0>)']","[((2, 3), <game.Grid object at 0x000001E20DDE6EA0>), ((1, 3), <game.Grid object at 0x000001E20DDE6C30>), ((2, 3), <game.Grid object at 0x000001E20DDE69C0>), ((3, 2), <game.Grid object at 0x000001E20DDE6FC0>), ((3, 3), <game.Grid object at 0x000001E20DDE6CC0>)]",2,0,2
6,"((3, 1), <game.Grid object at 0x000001E20DDE7080>)","((3, 2), <game.Grid object at 0x000001E20DDE6FC0>)",South,"[(((2, 1), <game.Grid object at 0x000001E20DDE70E0>), 'West', 4)]","['((3, 3), <game.Grid object at 0x000001E20DDE72F0>)']","['((3, 3), <game.Grid object at 0x000001E20DDE72F0>)', '((2, 1), <game.Grid object at 0x000001E20DDE70E0>)']","[((2, 3), <game.Grid object at 0x000001E20DDE6EA0>), ((1, 3), <game.Grid object at 0x000001E20DDE6C30>), ((3, 1), <game.Grid object at 0x000001E20DDE7080>), ((2, 3), <game.Grid object at 0x000001E20DDE69C0>), ((3, 2), <game.Grid object at 0x000001E20DDE6FC0>), ((3, 3), <game.Grid object at 0x000001E20DDE6CC0>)]",3,0,3
7,"((3, 3), <game.Grid object at 0x000001E20DDE72F0>)","((2, 3), <game.Grid object at 0x000001E20DDE6EA0>)",East,"[(((3, 2), <game.Grid object at 0x000001E20DDE75C0>), 'South', 4)]","['((2, 1), <game.Grid object at 0x000001E20DDE70E0>)']","['((2, 1), <game.Grid object at 0x000001E20DDE70E0>)', '((3, 2), <game.Grid object at 0x000001E20DDE75C0>)']","[((2, 3), <game.Grid object at 0x000001E20DDE6EA0>), ((1, 3), <game.Grid object at 0x000001E20DDE6C30>), ((3, 1), <game.Grid object at 0x000001E20DDE7080>), ((2, 3), <game.Grid object at 0x000001E20DDE69C0>), ((3, 3), <game.Grid object at 0x000001E20DDE72F0>), ((3, 2), <game.Grid object at 0x000001E20DDE6FC0>), ((3, 3), <game.Grid object at 0x000001E20DDE6CC0>)]",3,0,3
8,"((2, 1), <game.Grid object at 0x000001E20DDE70E0>)","((3, 1), <game.Grid object at 0x000001E20DDE7080>)",West,"[(((1, 1), <game.Grid object at 0x000001E20DDE70B0>), 'West', 5)]","['((3, 2), <game.Grid object at 0x000001E20DDE75C0>)']","['((3, 2), <game.Grid object at 0x000001E20DDE75C0>)', '((1, 1), <game.Grid object at 0x000001E20DDE70B0>)']","[((2, 1), <game.Grid object at 0x000001E20DDE70E0>), ((2, 3), <game.Grid object at 0x000001E20DDE6EA0>), ((1, 3), <game.Grid object at 0x000001E20DDE6C30>), ((3, 1), <game.Grid object at 0x000001E20DDE7080>), ((2, 3), <game.Grid object at 0x000001E20DDE69C0>), ((3, 3), <game.Grid object at 0x000001E20DDE72F0>), ((3, 2), <game.Grid object at 0x000001E20DDE6FC0>), ((3, 3), <game.Grid object at 0x000001E20DDE6CC0>)]",4,0,4
9,"((3, 2), <game.Grid object at 0x000001E20DDE75C0>)","((3, 3), <game.Grid object at 0x000001E20DDE72F0>)",South,"[(((3, 1), <game.Grid object at 0x000001E20DDE78C0>), 'South', 5)]","['((1, 1), <game.Grid object at 0x000001E20DDE70B0>)']","['((1, 1), <game.Grid object at 0x000001E20DDE70B0>)', '((3, 1), <game.Grid object at 0x000001E20DDE78C0>)']","[((2, 1), <game.Grid object at 0x000001E20DDE70E0>), ((2, 3), <game.Grid object at 0x000001E20DDE6EA0>), ((1, 3), <game.Grid object at 0x000001E20DDE6C30>), ((3, 2), <game.Grid object at 0x000001E20DDE75C0>), ((3, 1), <game.Grid object at 0x000001E20DDE7080>), ((2, 3), <game.Grid object at 0x000001E20DDE69C0>), ((3, 3), <game.Grid object at 0x000001E20DDE72F0>), ((3, 2), <game.Grid object at 0x000001E20DDE6FC0>), ((3, 3), <game.Grid object at 0x000001E20DDE6CC0>)]",4,0,4
10,"((1, 1), <game.Grid object at 0x000001E20DDE70B0>)","((2, 1), <game.Grid object at 0x000001E20DDE70E0>)",West,"[(((2, 1), <game.Grid object at 0x000001E20DDE7140>), 'East', 6)]","['((3, 1), <game.Grid object at 0x000001E20DDE78C0>)']","['((3, 1), <game.Grid object at 0x000001E20DDE78C0>)', '((2, 1), <game.Grid object at 0x000001E20DDE7140>)']","[((2, 1), <game.Grid object at 0x000001E20DDE70E0>), ((2, 3), <game.Grid object at 0x000001E20DDE6EA0>), ((1, 1), <game.Grid object at 0x000001E20DDE70B0>), ((1, 3), <game.Grid object at 0x000001E20DDE6C30>), ((3, 2), <game.Grid object at 0x000001E20DDE75C0>), ((3, 1), <game.Grid object at 0x000001E20DDE7080>), ((2, 3), <game.Grid object at 0x000001E20DDE69C0>), ((3, 3), <game.Grid object at 0x000001E20DDE72F0>), ((3, 2), <game.Grid object at 0x000001E20DDE6FC0>), ((3, 3), <game.Grid object at 0x000001E20DDE6CC0>)]",5,0,5
