iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(34, 16)",None,Start,"[((34, 15), 'South', 17179869184), ((33, 16), 'West', 8589934592)]",[],"['(33, 16)', '(34, 15)']","[(34, 16)]",0,0,0
2,"(33, 16)","(34, 16)",West,"[((32, 16), 'West', 12884901888)]","['(34, 15)']","['(32, 16)', '(34, 15)']","[(34, 16), (33, 16)]",8589934592,0,8589934592
3,"(32, 16)","(33, 16)",West,"[((31, 16), 'West', 15032385536)]","['(34, 15)']","['(31, 16)', '(34, 15)']","[(34, 16), (32, 16), (33, 16)]",12884901888,0,12884901888
4,"(31, 16)","(32, 16)",West,"[((30, 16), 'West', 16106127360)]","['(34, 15)']","['(30, 16)', '(34, 15)']","[(31, 16), (34, 16), (32, 16), (33, 16)]",15032385536,0,15032385536
5,"(30, 16)","(31, 16)",West,"[((29, 16), 'West', 16642998272)]","['(34, 15)']","['(29, 16)', '(34, 15)']","[(33, 16), (34, 16), (30, 16), (31, 16), (32, 16)]",16106127360,0,16106127360
6,"(29, 16)","(30, 16)",West,"[((28, 16), 'West', 16911433728)]","['(34, 15)']","['(28, 16)', '(34, 15)']","[(33, 16), (34, 16), (29, 16), (30, 16), (31, 16), (32, 16)]",16642998272,0,16642998272
7,"(28, 16)","(29, 16)",West,"[((27, 16), 'West', 17045651456)]","['(34, 15)']","['(27, 16)', '(34, 15)']","[(33, 16), (28, 16), (34, 16), (29, 16), (30, 16), (31, 16), (32, 16)]",16911433728,0,16911433728
8,"(27, 16)","(28, 16)",West,"[((26, 16), 'West', 17112760320)]","['(34, 15)']","['(26, 16)', '(34, 15)']","[(33, 16), (28, 16), (34, 16), (29, 16), (30, 16), (31, 16), (32, 16), (27, 16)]",17045651456,0,17045651456
9,"(26, 16)","(27, 16)",West,"[((25, 16), 'West', 17146314752)]","['(34, 15)']","['(25, 16)', '(34, 15)']","[(33, 16), (28, 16), (34, 16), (29, 16), (30, 16), (31, 16), (26, 16), (32, 16), (27, 16)]",17112760320,0,17112760320
10,"(25, 16)","(26, 16)",West,"[((25, 15), 'South', 17179869184), ((24, 16), 'West', 17163091968)]","['(34, 15)']","['(24, 16)', '(25, 15)', '(34, 15)']","[(25, 16), (33, 16), (28, 16), (34, 16), (29, 16), (30, 16), (31, 16), (26, 16), (32, 16), (27, 16)]",17146314752,0,17146314752
11,"(24, 16)","(25, 16)",West,"[((23, 16), 'West', 17171480576)]","['(34, 15)', '(25, 15)']","['(23, 16)', '(25, 15)', '(34, 15)']","[(25, 16), (33, 16), (28, 16), (34, 16), (29, 16), (24, 16), (30, 16), (31, 16), (26, 16), (32, 16), (27, 16)]",17163091968,0,17163091968
12,"(23, 16)","(24, 16)",West,"[((22, 16), 'West', 17175674880)]","['(34, 15)', '(25, 15)']","['(22, 16)', '(25, 15)', '(34, 15)']","[(25, 16), (33, 16), (28, 16), (23, 16), (34, 16), (29, 16), (24, 16), (30, 16), (31, 16), (26, 16), (32, 16), (27, 16)]",17171480576,0,17171480576
13,"(22, 16)","(23, 16)",West,"[((21, 16), 'West', 17177772032)]","['(34, 15)', '(25, 15)']","['(21, 16)', '(25, 15)', '(34, 15)']","[(25, 16), (33, 16), (28, 16), (23, 16), (34, 16), (29, 16), (24, 16), (30, 16), (31, 16), (26, 16), (32, 16), (27, 16), (22, 16)]",17175674880,0,17175674880
14,"(21, 16)","(22, 16)",West,"[((20, 16), 'West', 17178820608)]","['(34, 15)', '(25, 15)']","['(20, 16)', '(25, 15)', '(34, 15)']","[(25, 16), (21, 16), (33, 16), (28, 16), (23, 16), (34, 16), (29, 16), (24, 16), (30, 16), (31, 16), (26, 16), (32, 16), (27, 16), (22, 16)]",17177772032,0,17177772032
15,"(20, 16)","(21, 16)",West,"[((19, 16), 'West', 17179344896)]","['(34, 15)', '(25, 15)']","['(19, 16)', '(25, 15)', '(34, 15)']","[(25, 16), (21, 16), (33, 16), (28, 16), (23, 16), (34, 16), (29, 16), (24, 16), (30, 16), (31, 16), (26, 16), (20, 16), (32, 16), (27, 16), (22, 16)]",17178820608,0,17178820608
16,"(19, 16)","(20, 16)",West,"[((18, 16), 'West', 17179607040)]","['(34, 15)', '(25, 15)']","['(18, 16)', '(25, 15)', '(34, 15)']","[(25, 16), (21, 16), (33, 16), (28, 16), (23, 16), (34, 16), (29, 16), (24, 16), (30, 16), (19, 16), (31, 16), (26, 16), (20, 16), (32, 16), (27, 16), (22, 16)]",17179344896,0,17179344896
17,"(18, 16)","(19, 16)",West,"[((17, 16), 'West', 17179738112)]","['(34, 15)', '(25, 15)']","['(17, 16)', '(25, 15)', '(34, 15)']","[(25, 16), (21, 16), (33, 16), (28, 16), (23, 16), (34, 16), (29, 16), (24, 16), (30, 16), (19, 16), (18, 16), (31, 16), (26, 16), (20, 16), (32, 16), (27, 16), (22, 16)]",17179607040,0,17179607040
18,"(17, 16)","(18, 16)",West,"[((16, 16), 'West', 17179803648)]","['(34, 15)', '(25, 15)']","['(16, 16)', '(25, 15)', '(34, 15)']","[(25, 16), (21, 16), (33, 16), (28, 16), (23, 16), (34, 16), (29, 16), (24, 16), (30, 16), (19, 16), (18, 16), (31, 16), (26, 16), (20, 16), (32, 16), (27, 16), (22, 16), (17, 16)]",17179738112,0,17179738112
19,"(16, 16)","(17, 16)",West,"[((15, 16), 'West', 17179836416)]","['(34, 15)', '(25, 15)']","['(15, 16)', '(25, 15)', '(34, 15)']","[(21, 16), (23, 16), (34, 16), (27, 16), (25, 16), (16, 16), (18, 16), (29, 16), (31, 16), (20, 16), (22, 16), (33, 16), (24, 16), (26, 16), (28, 16), (17, 16), (30, 16), (19, 16), (32, 16)]",17179803648,0,17179803648
20,"(15, 16)","(16, 16)",West,"[((14, 16), 'West', 17179852800)]","['(34, 15)', '(25, 15)']","['(14, 16)', '(25, 15)', '(34, 15)']","[(21, 16), (23, 16), (34, 16), (27, 16), (25, 16), (16, 16), (18, 16), (29, 16), (31, 16), (20, 16), (22, 16), (33, 16), (24, 16), (26, 16), (15, 16), (28, 16), (17, 16), (30, 16), (19, 16), (32, 16)]",17179836416,0,17179836416
21,"(14, 16)","(15, 16)",West,"[((13, 16), 'West', 17179860992)]","['(34, 15)', '(25, 15)']","['(13, 16)', '(25, 15)', '(34, 15)']","[(21, 16), (23, 16), (34, 16), (14, 16), (27, 16), (25, 16), (16, 16), (18, 16), (29, 16), (31, 16), (20, 16), (22, 16), (33, 16), (24, 16), (26, 16), (15, 16), (28, 16), (17, 16), (30, 16), (19, 16), (32, 16)]",17179852800,0,17179852800
22,"(13, 16)","(14, 16)",West,"[((12, 16), 'West', 17179865088)]","['(34, 15)', '(25, 15)']","['(12, 16)', '(25, 15)', '(34, 15)']","[(21, 16), (23, 16), (34, 16), (14, 16), (27, 16), (25, 16), (16, 16), (18, 16), (29, 16), (31, 16), (20, 16), (22, 16), (33, 16), (24, 16), (13, 16), (26, 16), (15, 16), (28, 16), (17, 16), (30, 16), (19, 16), (32, 16)]",17179860992,0,17179860992
23,"(12, 16)","(13, 16)",West,"[((11, 16), 'West', 17179867136)]","['(34, 15)', '(25, 15)']","['(11, 16)', '(25, 15)', '(34, 15)']","[(21, 16), (23, 16), (34, 16), (12, 16), (14, 16), (27, 16), (25, 16), (16, 16), (18, 16), (29, 16), (31, 16), (20, 16), (22, 16), (33, 16), (24, 16), (13, 16), (26, 16), (15, 16), (28, 16), (17, 16), (30, 16), (19, 16), (32, 16)]",17179865088,0,17179865088
24,"(11, 16)","(12, 16)",West,"[((10, 16), 'West', 17179868160)]","['(34, 15)', '(25, 15)']","['(10, 16)', '(25, 15)', '(34, 15)']","[(21, 16), (23, 16), (34, 16), (12, 16), (14, 16), (27, 16), (25, 16), (16, 16), (18, 16), (29, 16), (31, 16), (20, 16), (22, 16), (11, 16), (33, 16), (24, 16), (13, 16), (26, 16), (15, 16), (28, 16), (17, 16), (30, 16), (19, 16), (32, 16)]",17179867136,0,17179867136
25,"(10, 16)","(11, 16)",West,"[((9, 16), 'West', 17179868672)]","['(34, 15)', '(25, 15)']","['(9, 16)', '(25, 15)', '(34, 15)']","[(21, 16), (23, 16), (34, 16), (12, 16), (14, 16), (27, 16), (25, 16), (16, 16), (18, 16), (29, 16), (31, 16), (20, 16), (22, 16), (11, 16), (33, 16), (24, 16), (13, 16), (26, 16), (15, 16), (28, 16), (17, 16), (30, 16), (19, 16), (10, 16), (32, 16)]",17179868160,0,17179868160
26,"(9, 16)","(10, 16)",West,"[((8, 16), 'West', 17179868928)]","['(34, 15)', '(25, 15)']","['(8, 16)', '(25, 15)', '(34, 15)']","[(21, 16), (23, 16), (34, 16), (12, 16), (14, 16), (27, 16), (25, 16), (16, 16), (18, 16), (29, 16), (31, 16), (20, 16), (22, 16), (9, 16), (11, 16), (33, 16), (24, 16), (13, 16), (26, 16), (15, 16), (28, 16), (17, 16), (30, 16), (19, 16), (10, 16), (32, 16)]",17179868672,0,17179868672
27,"(8, 16)","(9, 16)",West,"[((7, 16), 'West', 17179869056)]","['(34, 15)', '(25, 15)']","['(7, 16)', '(25, 15)', '(34, 15)']","[(21, 16), (23, 16), (34, 16), (12, 16), (14, 16), (27, 16), (25, 16), (16, 16), (18, 16), (29, 16), (31, 16), (20, 16), (22, 16), (9, 16), (11, 16), (33, 16), (24, 16), (13, 16), (26, 16), (15, 16), (28, 16), (17, 16), (30, 16), (19, 16), (8, 16), (10, 16), (32, 16)]",17179868928,0,17179868928
28,"(7, 16)","(8, 16)",West,"[((6, 16), 'West', 17179869120)]","['(34, 15)', '(25, 15)']","['(6, 16)', '(25, 15)', '(34, 15)']","[(21, 16), (23, 16), (34, 16), (12, 16), (14, 16), (27, 16), (25, 16), (16, 16), (18, 16), (29, 16), (7, 16), (31, 16), (20, 16), (22, 16), (9, 16), (11, 16), (33, 16), (24, 16), (13, 16), (26, 16), (15, 16), (28, 16), (17, 16), (30, 16), (19, 16), (8, 16), (10, 16), (32, 16)]",17179869056,0,17179869056
29,"(6, 16)","(7, 16)",West,"[((5, 16), 'West', 17179869152)]","['(34, 15)', '(25, 15)']","['(5, 16)', '(25, 15)', '(34, 15)']","[(21, 16), (23, 16), (34, 16), (12, 16), (14, 16), (27, 16), (25, 16), (16, 16), (18, 16), (29, 16), (7, 16), (31, 16), (20, 16), (22, 16), (9, 16), (11, 16), (33, 16), (24, 16), (13, 16), (26, 16), (15, 16), (6, 16), (28, 16), (17, 16), (30, 16), (19, 16), (8, 16), (10, 16), (32, 16)]",17179869120,0,17179869120
30,"(5, 16)","(6, 16)",West,"[((4, 16), 'West', 17179869168)]","['(34, 15)', '(25, 15)']","['(4, 16)', '(25, 15)', '(34, 15)']","[(21, 16), (23, 16), (34, 16), (12, 16), (14, 16), (5, 16), (27, 16), (25, 16), (16, 16), (18, 16), (29, 16), (7, 16), (31, 16), (20, 16), (22, 16), (9, 16), (11, 16), (33, 16), (24, 16), (13, 16), (26, 16), (15, 16), (6, 16), (28, 16), (17, 16), (30, 16), (19, 16), (8, 16), (10, 16), (32, 16)]",17179869152,0,17179869152
31,"(4, 16)","(5, 16)",West,"[((3, 16), 'West', 17179869176)]","['(34, 15)', '(25, 15)']","['(3, 16)', '(25, 15)', '(34, 15)']","[(21, 16), (23, 16), (34, 16), (12, 16), (14, 16), (5, 16), (27, 16), (25, 16), (16, 16), (18, 16), (29, 16), (7, 16), (31, 16), (20, 16), (22, 16), (9, 16), (11, 16), (33, 16), (24, 16), (13, 16), (26, 16), (15, 16), (6, 16), (4, 16), (28, 16), (17, 16), (30, 16), (19, 16), (8, 16), (10, 16), (32, 16)]",17179869168,0,17179869168
32,"(3, 16)","(4, 16)",West,"[((2, 16), 'West', 17179869180)]","['(34, 15)', '(25, 15)']","['(2, 16)', '(25, 15)', '(34, 15)']","[(21, 16), (23, 16), (34, 16), (12, 16), (14, 16), (3, 16), (5, 16), (27, 16), (25, 16), (16, 16), (18, 16), (29, 16), (7, 16), (31, 16), (20, 16), (22, 16), (9, 16), (11, 16), (33, 16), (24, 16), (13, 16), (26, 16), (15, 16), (6, 16), (4, 16), (28, 16), (17, 16), (30, 16), (19, 16), (8, 16), (10, 16), (32, 16)]",17179869176,0,17179869176
33,"(2, 16)","(3, 16)",West,"[((1, 16), 'West', 17179869182)]","['(34, 15)', '(25, 15)']","['(1, 16)', '(25, 15)', '(34, 15)']","[(21, 16), (23, 16), (34, 16), (12, 16), (14, 16), (3, 16), (5, 16), (27, 16), (25, 16), (16, 16), (18, 16), (29, 16), (7, 16), (31, 16), (20, 16), (22, 16), (9, 16), (11, 16), (33, 16), (2, 16), (24, 16), (13, 16), (26, 16), (15, 16), (6, 16), (4, 16), (28, 16), (17, 16), (30, 16), (19, 16), (8, 16), (10, 16), (32, 16)]",17179869180,0,17179869180
34,"(1, 16)","(2, 16)",West,"[((1, 15), 'South', 17179869184)]","['(34, 15)', '(25, 15)']","['(34, 15)', '(25, 15)', '(1, 15)']","[(21, 16), (23, 16), (34, 16), (12, 16), (14, 16), (3, 16), (5, 16), (27, 16), (25, 16), (16, 16), (18, 16), (29, 16), (7, 16), (31, 16), (20, 16), (22, 16), (9, 16), (11, 16), (33, 16), (2, 16), (24, 16), (13, 16), (26, 16), (15, 16), (6, 16), (4, 16), (28, 16), (17, 16), (30, 16), (19, 16), (8, 16), (10, 16), (32, 16), (1, 16)]",17179869182,0,17179869182
35,"(34, 15)","(34, 16)",South,"[((34, 14), 'South', 34359738368)]","['(25, 15)', '(1, 15)']","['(25, 15)', '(1, 15)', '(34, 14)']","[(21, 16), (23, 16), (34, 16), (12, 16), (14, 16), (3, 16), (5, 16), (27, 16), (25, 16), (16, 16), (18, 16), (29, 16), (7, 16), (31, 16), (20, 16), (22, 16), (34, 15), (9, 16), (11, 16), (33, 16), (2, 16), (24, 16), (13, 16), (26, 16), (15, 16), (6, 16), (4, 16), (28, 16), (17, 16), (30, 16), (19, 16), (8, 16), (10, 16), (32, 16), (1, 16)]",17179869184,0,17179869184
